733271,9.01,-2.88,2.78,-0.01,-0.03,0.01
733284,9.03,-2.94,2.74,-0.02,-0.04,0.01
733297,9.02,-3.01,2.72,-0.01,-0.03,0.01
733310,9.02,-3.01,2.76,0.01,-0.03,0.01
733323,9.01,-2.96,2.79,0.01,-0.03,0.00
733336,9.01,-2.99,2.78,-0.01,-0.03,0.00
733349,9.01,-3.00,2.75,-0.02,-0.03,-0.00
733362,9.01,-2.96,2.73,-0.02,-0.03,-0.01
733375,9.01,-2.92,2.75,0.00,-0.03,-0.01
733388,9.00,-2.85,2.80,0.01,-0.03,-0.00
733401,9.01,-2.89,2.79,-0.00,-0.03,0.00
733414,9.01,-2.98,2.75,-0.03,-0.04,0.01
733427,9.03,-3.07,2.74,-0.03,-0.03,0.01
733440,9.03,-3.09,2.73,-0.01,-0.03,0.01
733453,9.02,-2.97,2.75,0.02,-0.03,-0.01
733466,9.01,-2.89,2.78,0.01,-0.03,-0.01
733479,9.02,-2.86,2.78,0.00,-0.03,-0.01
733492,9.02,-2.96,2.75,-0.02,-0.03,0.00
733505,9.02,-3.01,2.73,-0.01,-0.03,0.00
733518,9.02,-3.01,2.78,0.01,-0.02,0.00
733531,9.00,-2.86,2.83,0.02,-0.03,0.00
733544,9.00,-2.84,2.81,-0.00,-0.03,0.01
733557,9.01,-2.86,2.80,-0.02,-0.04,0.01
733570,9.02,-3.03,2.72,-0.03,-0.04,0.02
733583,9.02,-3.06,2.71,-0.01,-0.04,0.01
733596,9.02,-3.05,2.69,0.01,-0.03,0.01
733609,9.02,-3.01,2.74,0.03,-0.02,-0.00
733622,9.02,-3.00,2.77,0.02,-0.02,-0.01
733635,9.01,-3.00,2.74,0.01,-0.02,-0.01
733648,9.02,-2.96,2.76,0.02,-0.02,-0.02
733661,9.01,-2.91,2.79,0.04,-0.02,-0.02
733674,8.99,-2.86,2.80,0.03,-0.02,-0.01
733687,9.00,-2.80,2.82,0.02,-0.02,0.00
733700,9.01,-2.85,2.79,-0.02,-0.03,0.01
733713,9.01,-2.91,2.77,-0.02,-0.04,0.02
733726,9.01,-2.94,2.76,-0.01,-0.04,0.02
733739,9.02,-2.98,2.72,-0.01,-0.04,0.02
733752,9.02,-3.07,2.73,-0.01,-0.03,0.02
733765,9.02,-3.10,2.74,-0.01,-0.03,0.01
733778,9.03,-3.10,2.72,0.02,-0.03,-0.01
733791,9.02,-3.00,2.76,0.04,-0.02,-0.01
733804,9.01,-2.93,2.78,0.04,-0.02,-0.02
733817,9.00,-2.79,2.81,0.02,-0.02,-0.01
733830,9.00,-2.82,2.82,0.01,-0.03,0.00
733843,9.02,-2.88,2.76,-0.01,-0.03,0.01
733856,9.02,-3.03,2.74,-0.00,-0.03,0.02
733869,9.01,-3.03,2.76,0.01,-0.02,0.01
733882,9.01,-3.00,2.79,0.03,-0.02,0.01
733895,9.00,-2.94,2.82,0.02,-0.03,0.00
733908,9.01,-2.93,2.81,-0.00,-0.03,0.00
