76,0.01,-0.02,-0.04
93987,7.73,-4.22,4.74,0.02,-0.02,-0.05
94000,7.73,-4.18,4.68,0.02,-0.02,-0.06
94013,7.75,-4.08,4.67,0.05,-0.02,-0.08
94026,7.76,-4.11,4.65,0.04,-0.02,-0.09
94039,7.75,-4.00,4.73,0.05,-0.01,-0.09
94052,7.71,-3.65,4.87,0.04,-0.02,-0.08
94065,7.74,-3.65,4.79,0.01,-0.03,-0.06
94078,7.71,-3.71,4.87,-0.02,-0.04,-0.04
94091,7.75,-3.82,4.73,-0.07,-0.07,-0.01
94104,7.78,-3.88,4.65,-0.06,-0.07,0.00
94117,7.77,-3.91,4.63,-0.05,-0.06,0.01
94130,7.77,-4.01,4.61,-0.04,-0.05,0.02
94143,7.77,-4.07,4.61,-0.03,-0.04,0.02
94156,7.76,-4.05,4.62,-0.01,-0.04,0.02
94169,7.76,-3.99,4.67,0.00,-0.03,0.01
94182,7.76,-4.01,4.67,-0.01,-0.03,0.01
94195,7.77,-4.00,4.65,-0.01,-0.03,0.01
94208,7.78,-4.10,4.59,-0.00,-0.02,0.01
94221,7.77,-4.07,4.60,0.02,-0.01,0.00
94234,7.76,-4.01,4.65,0.04,-0.00,-0.00
94247,7.72,-3.83,4.79,0.05,0.00,0.00
94260,7.73,-3.81,4.83,0.03,-0.01,0.01
94273,7.72,-3.84,4.85,-0.00,-0.02,0.02
94286,7.74,-3.92,4.77,-0.03,-0.04,0.03
94299,7.75,-3.94,4.71,-0.04,-0.05,0.04
94312,7.75,-4.04,4.68,-0.03,-0.05,0.05
94325,7.75,-4.07,4.68,-0.01,-0.05,0.05
94338,7.76,-4.09,4.65,-0.01,-0.05,0.04
94351,7.74,-4.07,4.66,-0.01,-0.05,0.03
94364,7.76,-4.10,4.66,-0.01,-0.04,0.03
94377,7.75,-4.11,4.66,0.00,-0.04,0.01
94390,7.76,-4.15,4.61,0.00,-0.04,0.01
94403,7.77,-4.13,4.59,0.01,-0.03,-0.00
94416,7.74,-4.01,4.71,0.03,-0.03,-0.01
94429,7.73,-3.90,4.74,0.03,-0.03,-0.01
94442,7.73,-3.81,4.74,0.01,-0.03,-0.00
94455,7.74,-3.83,4.74,-0.03,-0.04,0.02
94468,7.75,-3.92,4.68,-0.04,-0.05,0.03
94481,7.76,-4.03,4.64,-0.04,-0.05,0.04
94494,7.76,-4.12,4.62,-0.02,-0.04,0.04
94507,7.75,-4.15,4.59,-0.02,-0.03,0.03
94520,7.75,-4.19,4.65,-0.02,-0.03,0.03
94533,7.76,-4.20,4.62,-0.01,-0.02,0.01
94546,7.74,-4.19,4.66,0.01,-0.02,0.00
94559,7.75,-4.13,4.69,0.03,-0.02,-0.01
94572,7.74,-3.98,4.65,0.04,-0.02,-0.01
94585,7.73,-3.94,4.67,0.03,-0.02,-0.01
94598,7.74,-3.88,4.69,0.03,-0.02,-0.01
94611,7.73,-3.89,4.72,0.02,-0.02,0.00
94624,7.74,-3.96,4.72,-0.01,-0.02,0.02
94637,7.72,-3.97,4.73,-0.02,-0.03,0.02
