893486,8.60,-3.03,3.81,-0.01,-0.03,-0.01
893499,8.57,-3.07,3.83,-0.02,-0.04,0.00
893512,8.59,-3.06,3.79,-0.03,-0.04,0.01
893525,8.59,-2.95,3.85,-0.05,-0.06,0.02
893538,8.58,-2.95,3.81,-0.07,-0.07,0.03
893551,8.59,-3.01,3.78,-0.09,-0.08,0.04
893564,8.61,-3.13,3.72,-0.08,-0.08,0.06
893577,8.62,-3.18,3.69,-0.07,-0.08,0.07
893590,8.61,-3.24,3.64,-0.07,-0.08,0.07
893603,8.65,-3.46,3.51,-0.07,-0.07,0.05
893616,8.65,-3.47,3.49,-0.04,-0.05,0.04
893629,8.65,-3.44,3.52,-0.00,-0.03,0.02
893642,8.61,-3.32,3.67,0.03,-0.02,0.01
893655,8.60,-3.24,3.73,0.04,-0.01,-0.01
893668,8.60,-3.18,3.76,0.03,-0.01,-0.01
893681,8.60,-3.19,3.74,0.01,-0.02,-0.01
893694,8.62,-3.22,3.68,0.01,-0.02,-0.02
893707,8.62,-3.22,3.65,0.01,-0.02,-0.02
893720,8.62,-3.22,3.68,0.03,-0.02,-0.02
893733,8.60,-3.12,3.77,0.04,-0.02,-0.01
893746,8.59,-3.09,3.80,0.02,-0.02,-0.01
893759,8.60,-3.07,3.79,-0.00,-0.03,-0.01
893772,8.59,-3.00,3.79,-0.05,-0.05,0.01
893785,8.60,-3.04,3.74,-0.07,-0.05,0.02
893798,8.62,-3.13,3.68,-0.08,-0.06,0.03
893811,8.63,-3.39,3.61,-0.07,-0.05,0.03
893824,8.64,-3.48,3.59,-0.04,-0.04,0.02
893837,8.65,-3.51,3.58,-0.01,-0.03,-0.00
893850,8.63,-3.37,3.58,0.03,-0.02,-0.03
893863,8.65,-3.35,3.60,0.04,-0.01,-0.04
893876,8.64,-3.27,3.58,0.05,-0.00,-0.05
893889,8.61,-3.10,3.67,0.08,0.01,-0.05
893902,8.60,-3.10,3.73,0.08,0.02,-0.05
893915,8.59,-3.05,3.81,0.08,0.02,-0.04
893928,8.58,-3.01,3.87,0.06,0.01,-0.03
893941,8.58,-3.06,3.82,0.01,-0.01,-0.01
893954,8.60,-3.11,3.76,-0.01,-0.02,-0.01
893967,8.62,-3.19,3.68,-0.01,-0.02,-0.00
893980,8.65,-3.34,3.68,0.01,-0.02,-0.01
893993,8.63,-3.30,3.70,0.04,-0.01,-0.02
894006,8.61,-3.14,3.76,0.06,-0.01,-0.03
894019,8.59,-2.96,3.85,0.03,-0.02,-0.03
894032,8.59,-2.92,3.83,-0.00,-0.03,-0.02
894045,8.59,-2.96,3.80,-0.03,-0.04,-0.01
894058,8.61,-3.13,3.70,-0.04,-0.05,0.01
894071,8.63,-3.22,3.67,-0.04,-0.04,0.02
894084,8.62,-3.25,3.67,-0.03,-0.04,0.01
894097,8.62,-3.23,3.68,-0.01,-0.03,0.00
894110,8.63,-3.21,3.70,-0.00,-0.02,-0.00
894123,8.63,-3.21,3.73,0.00,-0.02,-0.01
894136,8.60,-3.10,3.79,0.00,-0.02,-0.01
894149,8.60,-3.11,3.77,-0.00,-0.03,-0.01
894162,8.60,-3.11,3.77,-0.00,-0.03,-0.01
894175,8.61,-3.07,3.76,-0.01,-0.04,-0.00
894188,8.61,-3.13,3.75,-0.01,-0.04,0.00
894201,8.62,-3.12,3.72,-0.02,-0.04,0.00
894214,8.63,-3.17,3.71,-0.02,-0.04,0.00
894227,8.62,-3.18,3.69,-0.01,-0.04,0.00
894240,8.62,-3.18,3.66,-0.01,-0.04,-0.00
894253,8.63,-3.11,3.71,-0.00,-0.03,-0.00
894266,8.63,-3.07,3.73,0.00,-0.03,-0.00
894279,8.61,-3.07,3.75,-0.00,-0.03,0.00
894292,8.61,-3.08,3.75,-0.01,-0.04,0.01
894305,8.62,-3.12,3.71,-0.01,-0.04,0.01
894318,8.63,-3.18,3.71,-0.01,-0.04,0.01
894331,8.62,-3.18,3.71,-0.01,-0.03,0.01
894344,8.62,-3.19,3.72,-0.00,-0.03,0.01
894357,8.63,-3.21,3.71,-0.00,-0.03,0.01
894370,8.62,-3.26,3.68,-0.00,-0.03,0.00
894383,8.65,-3.34,3.64,-0.00,-0.03,-0.02
894396,8.65,-3.29,3.65,0.01,-0.03,-0.03
894409,8.63,-3.13,3.69,0.03,-0.02,-0.04
894422,8.59,-2.89,3.81,0.03,-0.02,-0.03
894435,8.59,-2.94,3.82,0.01,-0.03,-0.01
894448,8.59,-2.93,3.79,-0.00,-0.03,0.00
894461,8.61,-3.05,3.76,-0.02,-0.04,0.03
894474,8.63,-3.16,3.70,-0.03,-0.05,0.04
894487,8.64,-3.20,3.67,-0.03,-0.05,0.03
894500,8.64,-3.24,3.67,-0.03,-0.04,0.02
894513,8.63,-3.24,3.69,-0.01,-0.04,0.02
894526,8.62,-3.21,3.72,-0.00,-0.04,0.01
894539,8.61,-3.14,3.72,-0.00,-0.04,0.01
894552,8.62,-3.12,3.69,-0.01,-0.04,0.01
894565,8.62,-3.11,3.70,-0.01,-0.04,0.01
894578,8.62,-3.14,3.70,-0.01,-0.04,0.02
894591,8.62,-3.23,3.70,-0.01,-0.03,0.02
894604,8.62,-3.25,3.69,-0.01,-0.03,0.01
894617,8.62,-3.25,3.71,-0.00,-0.03,0.01
894630,8.64,-3.21,3.68,-0.00,-0.03,-0.01
894643,8.64,-3.20,3.65,-0.00,-0.03,-0.01
894656,8.63,-3.16,3.66,0.00,-0.03,-0.01
894669,8.63,-3.20,3.67,0.02,-0.02,-0.01
894682,8.61,-3.19,3.72,0.02,-0.02,-0.01
894695,8.60,-3.16,3.74,0.03,-0.02,-0.01
894708,8.62,-3.20,3.72,0.01,-0.02,-0.02
894721,8.62,-3.18,3.71,0.01,-0.02,-0.02
894734,8.63,-3.10,3.73,0.01,-0.02,-0.02
894747,8.62,-3.06,3.71,0.01,-0.03,-0.02
894760,8.62,-3.08,3.71,0.00,-0.03,-0.01
894773,8.62,-3.14,3.71,-0.00,-0.03,-0.01
894786,8.62,-3.12,3.73,0.01,-0.02,-0.01
894799,8.62,-3.11,3.75,0.01,-0.02,-0.01
894812,8.61,-3.03,3.75,0.01,-0.02,-0.00
894825,8.61,-3.02,3.76,0.00,-0.03,0.00
894838,8.61,-3.10,3.73,-0.02,-0.04,0.02
894851,8.63,-3.18,3.70,-0.02,-0.04,0.02
894864,8.64,-3.21,3.71,-0.01,-0.04,0.02
894877,8.64,-3.26,3.70,0.00,-0.03,0.01
894890,8.63,-3.24,3.70,0.00,-0.03,-0.00
894903,8.63,-3.16,3.71,0.01,-0.03,-0.01
894916,8.60,-3.08,3.76,0.01,-0.03,-0.01
894929,8.60,-3.07,3.76,0.00,-0.03,-0.00
894942,8.61,-3.11,3.77,-0.01,-0.03,0.00
894955,8.62,-3.17,3.67,-0.01,-0.04,0.01
894968,8.64,-3.20,3.64,0.00,-0.04,0.00
894981,8.64,-3.20,3.62,0.00,-0.03,0.00
894994,8.63,-3.15,3.66,0.01,-0.02,-0.01
895007,8.62,-3.11,3.72,0.01,-0.02,-0.01
895020,8.61,-3.04,3.77,0.02,-0.02,-0.01
895033,8.60,-3.04,3.80,0.00,-0.03,0.00
895046,8.60,-3.03,3.78,-0.01,-0.03,0.01
895059,8.61,-3.05,3.76,-0.02,-0.04,0.01
895072,8.62,-3.19,3.67,-0.02,-0.04,0.02
895085,8.63,-3.25,3.66,-0.01,-0.04,0.02
895098,8.63,-3.24,3.66,-0.00,-0.04,0.01
895111,8.62,-3.19,3.70,0.01,-0.03,0.01
895124,8.62,-3.14,3.68,0.01,-0.03,0.00
895137,8.63,-3.11,3.70,0.00,-0.03,0.00
895150,8.62,-3.17,3.67,-0.00,-0.03,0.00
895163,8.62,-3.18,3.69,0.01,-0.02,0.00
895176,8.62,-3.15,3.74,0.02,-0.02,0.00
895189,8.60,-3.16,3.76,0.02,-0.02,0.00
895202,8.60,-3.14,3.81,0.02,-0.03,0.00
895215,8.60,-3.09,3.78,0.00,-0.03,-0.00
895228,8.62,-3.10,3.73,-0.01,-0.04,0.00
895241,8.63,-3.17,3.63,-0.02,-0.04,0.00
895254,8.63,-3.19,3.63,-0.01,-0.04,-0.00
895267,8.63,-3.19,3.64,0.01,-0.03,-0.00
895280,8.62,-3.16,3.71,0.02,-0.02,-0.01
895293,8.62,-3.18,3.76,0.02,-0.02,-0.01
895306,8.62,-3.14,3.77,0.01,-0.02,-0.01
895319,8.60,-3.05,3.77,0.01,-0.03,-0.01
895332,8.60,-3.06,3.75,0.00,-0.03,-0.00
895345,8.61,-3.08,3.72,-0.00,-0.03,0.00
895358,8.62,-3.17,3.69,-0.01,-0.03,0.01
895371,8.63,-3.22,3.70,-0.01,-0.03,0.00
895384,8.64,-3.20,3.71,-0.01,-0.03,-0.00
895397,8.62,-3.14,3.70,-0.00,-0.03,-0.01
895410,8.62,-3.12,3.69,-0.00,-0.03,-0.01
895423,8.62,-3.09,3.71,0.01,-0.03,-0.01
895436,8.61,-3.09,3.77,0.01,-0.02,-0.00
895449,8.61,-3.12,3.78,0.01,-0.03,0.00
895462,8.62,-3.16,3.72,-0.01,-0.03,0.00
895475,8.63,-3.15,3.69,-0.02,-0.04,-0.00
895488,8.63,-3.22,3.67,-0.00,-0.03,-0.01
895501,8.62,-3.18,3.67,0.01,-0.02,-0.01
895514,8.61,-3.17,3.70,0.02,-0.02,-0.01
895527,8.63,-3.18,3.73,0.02,-0.02,-0.02
895540,8.63,-3.13,3.76,0.01,-0.02,-0.03
895553,8.63,-3.08,3.75,0.01,-0.02,-0.03
895566,8.63,-3.02,3.68,-0.00,-0.03,-0.03
895579,8.62,-3.05,3.71,0.00,-0.02,-0.02
895592,8.61,-3.10,3.73,0.01,-0.02,-0.01
895605,8.62,-3.14,3.75,0.02,-0.02,-0.01
895618,8.63,-3.15,3.76,0.01,-0.02,-0.01
895631,8.63,-3.16,3.72,0.01,-0.02,-0.01
895644,8.62,-3.05,3.76,0.02,-0.02,-0.02
895657,8.62,-3.02,3.77,0.02,-0.02,-0.01
895670,8.61,-3.04,3.80,0.01,-0.03,-0.01
895683,8.62,-3.00,3.80,-0.00,-0.03,-0.00
895696,8.62,-3.03,3.75,-0.01,-0.04,0.01
895709,8.63,-3.05,3.69,-0.02,-0.04,0.01
895722,8.64,-3.15,3.66,-0.02,-0.04,0.01
895735,8.62,-3.14,3.70,-0.00,-0.03,0.02
895748,8.61,-3.13,3.74,0.02,-0.02,0.02
895761,8.62,-3.18,3.76,0.02,-0.02,0.02
895774,8.63,-3.17,3.77,0.00,-0.03,-0.00
895787,8.62,-3.12,3.75,-0.00,-0.03,-0.01
895800,8.63,-3.08,3.74,-0.01,-0.03,-0.01
895813,8.61,-2.99,3.74,0.00,-0.03,0.00
895826,8.62,-2.97,3.74,0.00,-0.03,0.01
895839,8.62,-3.04,3.72,-0.00,-0.03,0.02
895852,8.63,-3.23,3.68,-0.01,-0.03,0.02
895865,8.63,-3.29,3.66,-0.00,-0.02,0.01
895878,8.64,-3.30,3.66,0.01,-0.02,0.00
895891,8.60,-3.11,3.80,0.04,-0.01,-0.02
895904,8.59,-2.96,3.86,0.04,-0.02,-0.02
895917,8.59,-2.94,3.87,0.01,-0.03,-0.01
895930,8.61,-2.97,3.78,-0.03,-0.04,0.00
895943,8.61,-3.02,3.73,-0.03,-0.05,0.01
895956,8.62,-3.08,3.69,-0.02,-0.04,0.02
895969,8.62,-3.14,3.71,-0.01,-0.04,0.03
895982,8.62,-3.19,3.75,-0.01,-0.04,0.03
895995,8.62,-3.15,3.76,-0.01,-0.04,0.02
896008,8.62,-3.14,3.75,-0.01,-0.04,0.02
896021,8.63,-3.10,3.72,-0.01,-0.04,0.01
896034,8.62,-3.09,3.71,-0.02,-0.04,0.01
896047,8.64,-3.16,3.66,-0.02,-0.04,0.01
896060,8.64,-3.20,3.66,-0.02,-0.03,0.01
896073,8.63,-3.22,3.67,-0.01,-0.03,0.01
896086,8.63,-3.24,3.70,0.01,-0.02,0.00
896099,8.61,-3.15,3.76,0.03,-0.02,-0.01
896112,8.61,-3.09,3.79,0.02,-0.02,-0.01
896125,8.61,-3.04,3.79,0.01,-0.03,-0.01
896138,8.62,-3.02,3.76,-0.01,-0.04,0.00
896151,8.61,-3.02,3.74,-0.02,-0.04,0.01
896164,8.62,-3.06,3.73,-0.02,-0.04,0.02
896177,8.63,-3.18,3.69,-0.02,-0.04,0.02
896190,8.62,-3.16,3.69,-0.01,-0.04,0.02
896203,8.62,-3.21,3.69,0.00,-0.03,0.02
896216,8.63,-3.25,3.71,0.00,-0.03,0.01
896229,8.63,-3.24,3.70,-0.00,-0.03,-0.00
896242,8.63,-3.20,3.72,0.01,-0.03,-0.01
896255,8.62,-3.12,3.73,0.02,-0.02,-0.01
896268,8.61,-3.07,3.73,0.02,-0.02,-0.01
896281,8.62,-3.11,3.74,0.01,-0.02,-0.01
896294,8.63,-3.09,3.75,0.01,-0.02,-0.01
896307,8.61,-3.03,3.78,0.02,-0.03,-0.00
896320,8.61,-2.97,3.78,0.01,-0.03,0.00
896333,8.61,-3.04,3.73,-0.01,-0.04,0.01
896346,8.62,-3.12,3.71,-0.03,-0.04,0.03
896359,8.62,-3.22,3.71,-0.03,-0.04,0.03
896372,8.64,-3.28,3.69,-0.02,-0.04,0.03
896385,8.63,-3.27,3.68,0.00,-0.03,0.00
896398,8.62,-3.24,3.70,0.01,-0.03,-0.01
896411,8.62,-3.20,3.71,0.02,-0.02,-0.01
896424,8.61,-3.14,3.74,0.02,-0.02,-0.02
896437,8.60,-3.08,3.79,0.02,-0.02,-0.02
896450,8.60,-3.00,3.79,0.02,-0.03,-0.02
896463,8.61,-3.01,3.73,-0.01,-0.04,0.00
896476,8.61,-3.07,3.70,-0.02,-0.04,0.01
896489,8.62,-3.12,3.66,-0.03,-0.04,0.01
896502,8.62,-3.19,3.71,0.00,-0.03,0.02
896515,8.62,-3.21,3.72,0.01,-0.03,0.02
896528,8.62,-3.30,3.72,0.01,-0.03,0.01
896541,8.63,-3.27,3.70,0.02,-0.02,-0.02
896554,8.64,-3.31,3.70,0.02,-0.02,-0.03
896567,8.63,-3.15,3.69,0.02,-0.02,-0.04
896580,8.62,-3.14,3.66,0.03,-0.02,-0.04
896593,8.65,-3.33,3.52,0.05,-0.01,-0.04
896606,8.69,-3.65,3.51,0.11,0.01,-0.05
896619,8.65,-3.66,3.72,0.22,0.03,-0.10
896632,8.65,-3.42,3.78,0.38,0.05,-0.14
896645,8.62,-3.11,3.82,0.35,0.05,-0.17
896658,8.62,-3.01,3.76,0.26,0.04,-0.19
896671,8.66,-3.11,3.65,0.06,0.03,-0.22
896684,8.73,-3.30,3.32,0.05,0.05,-0.24
896697,8.73,-3.60,3.49,0.15,0.09,-0.25
896710,7.90,-1.98,5.24,0.32,-0.27,-0.16
896723,8.81,-2.71,3.45,0.02,-0.46,-0.12
896736,8.70,-3.42,3.61,-0.11,-0.62,0.06
896749,8.86,-3.56,3.08,-0.37,-0.70,0.23
896762,8.80,-3.28,2.60,-0.18,-0.58,0.16
896775,8.82,-3.19,2.87,0.27,-0.43,0.17
896788,8.43,-3.14,3.73,0.20,-0.23,0.04
896801,8.63,-3.32,3.45,-0.01,-0.22,-0.01
896814,8.61,-2.96,3.14,0.01,-0.26,0.04
896827,8.25,-2.82,3.49,-0.06,0.03,-0.23
896840,8.21,-2.51,3.46,0.15,0.00,-0.15
896853,8.46,-1.48,3.33,0.44,-0.12,0.04
896866,8.01,-2.90,3.12,-0.02,-0.42,0.54
896879,9.05,-2.94,2.15,-0.50,-0.49,0.76
896892,8.41,-2.87,2.23,-0.73,-0.54,0.86
896905,8.97,-3.86,2.00,-0.49,-0.44,0.79
896918,9.01,-3.83,2.63,0.15,-0.19,0.77
896931,9.46,-3.98,2.45,0.14,-0.10,0.63
896944,9.58,-4.13,2.04,0.10,0.01,0.49
896957,9.25,-4.52,2.86,-0.03,0.25,0.08
896970,8.88,-4.13,2.56,0.03,0.32,-0.06
896983,8.83,-3.69,3.12,0.16,0.36,-0.13
896996,7.87,-2.82,3.22,0.19,0.16,-0.04
897009,8.85,-3.80,3.19,-0.03,0.13,0.13
897022,7.73,-3.06,3.74,-0.04,0.06,0.27
897035,9.13,-4.43,2.41,-0.06,0.11,0.26
897048,8.68,-4.24,3.50,0.06,0.31,0.13
897061,8.46,-3.92,3.71,0.17,0.40,-0.01
897074,8.87,-4.03,4.02,0.41,0.48,-0.24
897087,8.21,-3.37,4.32,0.37,0.47,-0.35
897100,8.46,-3.41,4.61,0.34,0.37,-0.34
897113,7.73,-2.57,5.41,0.49,0.31,-0.32
897126,7.86,-1.91,4.58,0.30,0.11,-0.25
