,-2.27,4.24,0.01,0.11,-0.83
329490,8.90,-2.52,3.32,0.06,-0.25,-0.05
329503,8.95,-2.83,3.24,-0.11,-0.26,-0.06
329516,8.99,-2.87,3.03,-0.14,-0.26,-0.07
329529,9.00,-3.09,2.88,-0.14,-0.24,-0.09
329542,9.04,-3.07,2.78,-0.05,-0.19,-0.15
329555,9.06,-2.86,2.73,-0.01,-0.16,-0.18
329568,9.05,-2.65,2.80,0.01,-0.12,-0.20
329581,9.04,-2.43,2.89,0.04,-0.07,-0.19
329594,9.03,-2.22,2.94,0.05,-0.05,-0.18
329607,9.03,-2.11,3.03,0.05,-0.03,-0.16
329620,9.02,-2.07,3.07,0.04,-0.01,-0.10
329633,8.99,-2.00,3.23,0.04,-0.00,-0.07
329646,8.98,-2.03,3.25,0.02,-0.01,-0.04
329659,9.01,-2.32,3.17,-0.03,-0.01,0.01
329672,9.02,-2.50,3.12,-0.05,-0.01,0.02
329685,9.04,-2.59,3.08,-0.04,-0.00,0.02
329698,9.03,-2.55,3.08,-0.05,0.01,0.00
329711,9.02,-2.52,3.06,-0.05,0.02,-0.00
329724,9.03,-2.43,3.09,-0.06,0.03,-0.01
329737,9.01,-2.28,3.11,-0.04,0.04,0.01
329750,9.02,-2.31,3.04,-0.05,0.05,0.03
329763,9.00,-2.36,3.11,-0.07,0.06,0.04
329776,8.99,-2.59,3.18,-0.07,0.07,0.05
329789,8.97,-2.59,3.29,-0.03,0.08,0.05
329802,8.97,-2.57,3.28,0.01,0.08,0.05
329815,8.96,-2.47,3.42,0.02,0.08,0.05
329828,8.93,-2.37,3.44,0.02,0.05,0.06
329841,8.92,-2.45,3.52,0.02,0.04,0.07
329854,8.92,-2.53,3.52,0.02,0.02,0.08
329867,8.93,-2.72,3.49,0.01,-0.01,0.06
329880,8.94,-2.81,3.42,0.00,-0.03,0.05
329893,8.95,-2.91,3.36,0.00,-0.04,0.03
329906,8.96,-2.93,3.31,0.00,-0.04,-0.02
329919,8.96,-2.87,3.28,0.00,-0.04,-0.05
329932,8.97,-2.76,3.25,0.01,-0.04,-0.08
329945,8.97,-2.69,3.33,0.01,-0.04,-0.10
329958,8.98,-2.65,3.18,0.03,-0.04,-0.11
329971,8.96,-2.59,3.30,0.04,-0.04,-0.12
329984,8.96,-2.24,3.30,0.01,-0.04,-0.11
329997,8.97,-2.26,3.32,-0.02,-0.04,-0.10
330010,8.97,-2.33,3.32,-0.02,-0.04,-0.08
330023,8.96,-2.34,3.29,0.06,-0.04,-0.06
330036,8.97,-2.22,3.35,0.08,-0.04,-0.04
330049,8.97,-2.07,3.28,0.06,-0.05,-0.03
330062,8.97,-2.30,3.32,0.01,-0.06,0.01
330075,8.99,-2.39,3.28,0.00,-0.06,0.02
330088,8.99,-2.30,3.22,0.02,-0.06,0.03
330101,9.02,-2.52,3.18,0.02,-0.05,0.04
330114,9.03,-2.76,3.16,-0.01,-0.04,0.04
330127,9.02,-2.85,3.20,0.01,-0.03,0.02
330140,8.99,-2.73,3.26,0.04,-0.02,-0.00
330153,9.00,-2.50,3.24,-0.01,-0.02,-0.04
330166,8.99,-2.50,3.29,-0.04,-0.02,-0.05
330179,8.99,-2.47,3.32,-0.03,-0.02,-0.05
330192,8.97,-2.21,3.32,-0.01,-0.03,-0.04
330205,8.99,-2.16,3.25,-0.02,-0.03,-0.03
330218,8.99,-2.37,3.29,-0.03,-0.03,-0.01
330231,8.98,-2.52,3.37,0.03,-0.03,0.00
330244,8.97,-2.35,3.34,0.05,-0.04,-0.00
330257,8.98,-2.30,3.30,0.02,-0.04,0.00
330270,9.00,-2.55,3.26,-0.03,-0.04,0.01
330283,9.00,-2.50,3.20,-0.01,-0.04,0.00
330296,9.02,-2.34,3.15,0.01,-0.03,0.00
330309,9.00,-2.48,3.26,0.00,-0.02,0.01
330322,9.01,-2.53,3.29,-0.01,-0.02,0.01
330335,8.99,-2.49,3.26,-0.01,-0.02,0.00
330348,9.00,-2.46,3.24,-0.00,-0.01,0.00
330361,9.00,-2.54,3.26,-0.00,-0.00,0.00
330374,8.99,-2.63,3.30,0.00,-0.00,-0.01
330387,8.98,-2.40,3.36,0.03,-0.00,-0.02
330400,8.96,-2.30,3.36,0.04,-0.01,-0.02
330413,8.97,-2.37,3.40,0.01,-0.01,-0.01
330426,8.96,-2.41,3.36,-0.00,-0.02,-0.01
330439,9.00,-2.38,3.29,-0.01,-0.03,-0.01
330452,8.99,-2.14,3.27,-0.02,-0.03,-0.01
330465,8.98,-2.23,3.26,-0.04,-0.03,0.01
330478,9.01,-2.77,3.31,-0.01,-0.03,0.01
330491,9.00,-2.68,3.30,0.03,-0.03,-0.01
330504,9.00,-2.50,3.32,0.05,-0.03,-0.02
330517,8.95,-2.25,3.38,-0.01,-0.04,-0.03
330530,8.98,-2.33,3.32,-0.05,-0.04,-0.03
330543,9.01,-2.40,3.26,-0.06,-0.04,-0.02
330556,8.99,-2.31,3.25,-0.02,-0.04,-0.01
330569,9.01,-2.31,3.17,-0.02,-0.04,0.00
330582,9.01,-2.48,3.20,-0.00,-0.03,0.01
330595,9.00,-2.46,3.28,0.03,-0.02,-0.00
330608,9.00,-2.42,3.29,0.03,-0.02,-0.00
330621,9.00,-2.30,3.21,0.01,-0.02,-0.01
330634,9.01,-2.55,3.29,-0.02,-0.01,-0.00
330647,9.01,-2.66,3.29,0.00,-0.01,-0.01
330660,8.99,-2.62,3.29,0.04,-0.01,-0.02
330673,8.98,-2.29,3.40,0.07,-0.01,-0.04
330686,8.97,-2.19,3.38,0.03,-0.02,-0.03
330699,8.98,-2.28,3.33,-0.01,-0.03,-0.03
330712,8.99,-2.52,3.35,-0.03,-0.03,-0.02
330725,9.00,-2.51,3.33,-0.00,-0.04,-0.03
330738,9.00,-2.42,3.29,0.00,-0.04,-0.04
330751,9.01,-2.35,3.28,0.00,-0.04,-0.04
330764,9.01,-2.48,3.31,-0.02,-0.04,-0.04
330777,9.01,-2.46,3.28,-0.01,-0.04,-0.05
330790,9.01,-2.34,3.27,0.01,-0.04,-0.05
330803,8.99,-1.98,3.22,0.02,-0.03,-0.04
330816,9.01,-2.14,3.27,-0.01,-0.03,-0.01
330829,9.01,-2.28,3.30,-0.03,-0.03,0.00
330842,9.02,-2.46,3.28,-0.01,-0.03,-0.00
330855,9.01,-2.41,3.27,0.01,-0.03,-0.01
330868,9.02,-2.41,3.26,0.00,-0.03,-0.01
330881,9.02,-2.30,3.21,-0.00,-0.02,-0.02
330894,9.01,-2.27,3.24,0.00,-0.02,-0.01
330907,9.01,-2.33,3.31,0.01,-0.01,-0.01
330920,9.01,-2.44,3.34,0.01,-0.02,-0.00
330933,9.00,-2.44,3.33,0.01,-0.02,-0.01
330946,9.01,-2.49,3.32,0.01,-0.02,-0.02
330959,9.01,-2.45,3.32,0.02,-0.02,-0.04
330972,9.01,-2.37,3.29,0.03,-0.02,-0.04
330985,9.02,-2.32,3.32,0.04,-0.02,-0.05
330998,9.00,-2.23,3.38,0.04,-0.03,-0.05
331011,9.00,-2.16,3.34,0.00,-0.04,-0.05
331024,9.02,-2.19,3.27,-0.01,-0.04,-0.04
331037,9.01,-2.17,3.29,-0.01,-0.04,-0.03
331050,9.02,-2.22,3.29,-0.00,-0.04,-0.01
331063,9.02,-2.23,3.27,-0.00,-0.03,0.00
331076,9.02,-2.17,3.31,-0.01,-0.03,0.01
331089,9.05,-2.26,3.21,-0.03,-0.03,0.03
331102,9.03,-2.39,3.22,-0.02,-0.02,0.04
331115,9.04,-2.45,3.22,-0.00,-0.02,0.03
331128,9.02,-2.32,3.30,0.02,-0.01,0.02
331141,9.03,-2.24,3.16,-0.01,-0.01,0.01
331154,9.02,-2.38,3.27,-0.02,0.00,0.01
331167,9.01,-2.48,3.36,-0.01,0.01,0.00
331180,9.00,-2.35,3.41,0.01,0.00,-0.01
331193,8.99,-2.24,3.35,0.01,-0.00,-0.01
331206,9.00,-2.29,3.39,-0.01,-0.01,0.01
331219,9.00,-2.37,3.37,-0.00,-0.02,0.01
331232,8.99,-2.38,3.43,0.01,-0.02,0.01
331245,9.01,-2.19,3.29,-0.02,-0.04,0.00
331258,9.01,-2.30,3.32,-0.02,-0.04,0.01
331271,9.03,-2.40,3.29,-0.02,-0.04,0.01
331284,9.03,-2.34,3.21,-0.01,-0.03,0.00
331297,9.01,-2.25,3.25,0.01,-0.02,0.00
331310,9.01,-2.23,3.32,0.00,-0.01,0.01
331323,8.99,-2.20,3.35,-0.02,-0.01,0.01
331336,8.99,-2.11,3.34,-0.04,-0.02,0.03
331349,9.00,-2.02,3.31,-0.05,-0.02,0.04
331362,9.02,-2.16,3.25,-0.05,-0.02,0.06
331375,9.02,-2.47,3.21,-0.01,-0.00,0.08
331388,9.01,-2.38,3.25,0.02,0.01,0.08
331401,9.00,-2.34,3.28,0.03,0.01,0.08
331414,8.99,-2.36,3.33,-0.02,0.02,0.08
331427,8.98,-2.37,3.34,-0.04,0.02,0.08
331440,8.98,-2.40,3.33,-0.05,0.02,0.08
331453,8.98,-2.57,3.34,-0.04,0.02,0.07
331466,8.97,-2.53,3.37,-0.03,0.02,0.06
331479,8.97,-2.53,3.42,-0.02,0.02,0.06
331492,8.95,-2.52,3.44,-0.02,0.01,0.04
331505,8.95,-2.60,3.46,-0.02,0.01,0.04
331518,8.96,-2.62,3.45,-0.01,-0.00,0.02
331531,8.95,-2.54,3.45,0.02,-0.01,0.00
331544,8.94,-2.48,3.48,0.02,-0.02,-0.00
331557,8.93,-2.44,3.46,0.01,-0.03,-0.01
331570,8.95,-2.48,3.39,-0.01,-0.03,-0.01
331583,8.96,-2.50,3.34,-0.02,-0.03,-0.02
331596,8.97,-2.45,3.32,-0.01,-0.03,-0.02
331609,8.95,-2.34,3.40,-0.00,-0.02,-0.02
331622,8.96,-2.32,3.37,-0.00,-0.03,-0.01
331635,8.96,-2.38,3.38,-0.01,-0.03,-0.00
331648,8.95,-2.41,3.37,-0.01,-0.03,0.00
331661,8.97,-2.49,3.35,-0.01,-0.03,0.00
331674,8.97,-2.43,3.34,-0.00,-0.03,-0.00
331687,8.96,-2.44,3.35,0.00,-0.02,-0.00
331700,8.96,-2.42,3.32,0.00,-0.01,0.00
331713,8.96,-2.38,3.35,0.01,-0.01,0.00
331726,8.97,-2.43,3.33,-0.00,-0.01,0.01
331739,8.95,-2.43,3.40,0.00,-0.00,0.01
331752,8.96,-2.41,3.36,0.00,-0.00,0.01
331765,8.96,-2.40,3.38,0.00,-0.00,0.01
331778,8.95,-2.51,3.38,0.01,-0.00,0.01
331791,8.95,-2.54,3.45,0.02,0.00,0.01
331804,8.95,-2.60,3.49,0.03,-0.00,0.00
331817,8.99,-3.05,3.31,0.02,-0.01,-0.04
331830,8.99,-2.97,3.28,0.07,-0.00,-0.08
331843,8.96,-2.61,3.40,0.13,0.01,-0.11
331856,8.96,-2.30,3.42,0.14,0.01,-0.13
331869,8.93,-2.09,3.51,0.10,0.01,-0.13
331882,8.91,-2.06,3.63,0.04,0.00,-0.12
331895,8.94,-2.10,3.53,0.01,-0.01,-0.10
331908,8.94,-2.10,3.53,-0.00,-0.03,-0.07
331921,8.93,-2.07,3.55,-0.00,-0.04,-0.05
331934,8.93,-2.07,3.52,0.01,-0.05,-0.03
331947,8.94,-2.09,3.53,0.02,-0.06,0.01
331960,8.94,-2.17,3.53,0.01,-0.07,0.03
331973,8.97,-2.23,3.41,-0.00,-0.08,0.04
331986,8.97,-2.06,3.34,-0.01,-0.07,0.05
331999,8.96,-2.07,3.31,-0.03,-0.06,0.07
332012,8.99,-2.32,3.29,-0.07,-0.06,0.08
332025,9.01,-2.59,3.26,-0.06,-0.04,0.07
332038,9.01,-2.50,3.23,-0.01,-0.02,0.06
332051,8.98,-2.32,3.26,0.03,-0.01,0.06
332064,8.95,-2.23,3.36,-0.02,0.00,0.07
332077,8.97,-2.47,3.35,-0.08,0.00,0.07
332090,8.97,-2.65,3.37,-0.08,0.01,0.06
332103,8.93,-2.60,3.57,0.01,0.02,0.04
332116,8.94,-2.56,3.57,0.01,0.01,0.03
332129,8.94,-2.59,3.54,-0.00,-0.00,0.01
332142,8.94,-2.60,3.53,-0.00,-0.02,-0.02
332155,8.94,-2.59,3.53,0.02,-0.03,-0.03
332168,8.94,-2.55,3.53,0.04,-0.03,-0.04
332181,8.87,-2.39,3.50,0.03,-0.04,-0.05
332194,9.02,-2.38,3.46,0.01,-0.06,-0.06
332207,8.96,-2.36,3.47,0.00,-0.06,-0.06
332220,8.94,-2.33,3.39,0.00,-0.06,-0.06
332233,8.97,-2.22,3.44,0.02,-0.05,-0.05
332246,8.92,-2.22,3.47,0.02,-0.06,-0.04
332259,9.00,-2.18,3.37,0.00,-0.06,-0.03
332272,8.94,-2.20,3.34,-0.01,-0.06,-0.01
332285,8.99,-2.27,3.28,-0.01,-0.05,0.00
332298,8.99,-2.33,3.30,-0.01,-0.04,0.01
332311,8.99,-2.37,3.26,-0.00,-0.03,0.02
