,-2.27,4.24,0.01,0.11,-0.83
334157,9.29,-1.47,1.58,-0.23,-0.22,-0.15
334170,9.38,-1.43,4.12,0.00,-0.13,-0.12
334183,8.82,-2.15,3.06,-0.12,-0.28,-0.09
334196,8.39,-1.62,4.24,0.02,-0.27,-0.08
334209,9.47,-1.51,2.80,-0.07,-0.31,-0.10
334222,8.22,-2.87,5.20,0.02,0.00,-0.07
334235,8.56,-2.30,4.39,0.00,0.05,-0.08
334248,8.21,-2.06,4.78,0.02,0.17,-0.08
334261,8.58,-1.34,6.64,-0.00,0.31,0.06
334274,8.57,0.16,6.91,-0.21,0.04,-0.01
334287,8.73,-0.19,6.13,-0.65,-0.32,0.03
334300,8.72,-1.53,3.94,-1.14,-0.60,0.14
334313,10.42,-4.02,-0.06,-1.92,-0.64,0.21
334326,9.55,-4.67,2.32,-1.32,-0.07,-0.05
334339,8.79,-2.13,3.79,-0.33,0.50,-0.51
334352,7.48,0.67,5.59,2.77,1.02,-0.97
334365,9.98,0.14,6.22,1.45,0.83,-1.08
334378,9.15,1.55,5.65,0.09,0.44,-0.71
334391,8.91,0.10,4.28,-1.66,-0.21,-0.10
334404,9.43,-0.25,4.01,-1.13,-0.30,-0.05
334417,9.63,-1.61,4.00,-0.61,-0.33,0.06
334430,9.96,-1.82,3.49,-0.23,-0.42,0.28
334443,8.41,-0.39,3.79,-0.32,-0.50,0.27
334456,9.65,-1.64,1.78,-0.64,-0.55,0.22
334469,11.06,-1.46,1.96,-0.65,-0.33,-0.09
334482,8.04,-1.86,2.79,-0.52,-0.18,-0.14
334495,9.64,-0.72,3.44,-0.31,-0.19,-0.16
334508,8.57,-1.15,2.66,-0.37,-0.10,-0.21
334521,9.96,-1.38,3.01,-0.61,-0.23,-0.11
334534,9.55,-1.60,1.50,-0.52,-0.25,-0.09
334547,10.19,-1.24,2.38,-0.34,-0.31,-0.03
334560,8.56,-1.60,1.18,-0.45,-0.33,0.00
334573,10.50,-1.78,2.19,-0.42,-0.25,-0.04
334586,10.91,-1.97,0.11,-0.40,-0.29,-0.04
334599,9.69,-1.64,2.83,-0.41,-0.17,-0.03
334612,10.18,-1.65,2.76,-0.53,-0.22,-0.03
334625,8.17,-1.61,1.49,-0.64,-0.34,0.00
334638,10.24,-1.87,1.93,-0.57,-0.29,0.06
334651,9.29,-1.41,1.79,-0.55,-0.36,0.06
334664,9.73,-1.35,1.59,-0.41,-0.35,0.09
334677,8.99,-1.07,1.89,-0.37,-0.37,0.09
334690,11.05,-2.39,1.39,-0.45,-0.34,0.10
334703,9.07,-1.73,1.27,-0.34,-0.31,0.05
334716,10.33,-2.27,0.57,-0.43,-0.16,-0.06
334729,9.14,-1.86,2.73,-0.41,-0.12,-0.08
334742,9.44,-2.74,0.19,-0.49,-0.24,-0.04
334755,9.77,-2.11,0.98,-0.34,0.02,-0.17
334768,9.79,-2.40,1.14,-0.21,0.10,-0.20
334781,9.17,-1.25,2.06,-0.08,0.06,-0.22
334794,9.14,-1.19,1.55,-0.04,0.11,-0.17
334807,10.27,-1.52,1.91,-0.14,0.09,-0.14
334820,9.16,-1.41,2.01,-0.10,0.06,-0.06
334833,9.96,-1.33,1.76,-0.15,-0.11,-0.05
334846,9.24,-1.60,0.95,-0.26,-0.14,-0.05
334859,9.89,-1.98,0.64,-0.18,-0.03,-0.05
334872,10.16,-2.14,1.15,-0.15,-0.09,-0.12
334885,9.51,-1.68,0.18,-0.09,-0.05,-0.13
334898,9.76,-2.11,1.77,-0.09,0.06,-0.12
334911,9.37,-1.51,1.60,-0.12,0.02,-0.18
334924,8.94,-1.28,0.95,0.00,0.05,-0.23
334937,9.82,-1.49,1.65,0.03,0.14,-0.22
334950,10.27,-1.59,2.11,-0.05,0.15,-0.25
334963,10.04,-1.92,0.07,-0.19,-0.06,-0.26
334976,9.07,-1.56,1.54,-0.11,-0.00,-0.24
334989,9.62,-2.15,0.50,-0.14,0.04,-0.24
335002,9.84,-1.13,2.09,0.12,0.05,-0.25
335015,9.60,-0.63,0.76,0.04,-0.15,-0.25
335028,9.48,-0.30,1.92,-0.04,-0.21,-0.22
335041,9.81,-1.38,0.46,-0.37,-0.66,-0.01
335054,9.93,-1.37,-0.36,-0.45,-0.78,0.00
335067,10.19,-1.64,-2.32,-0.35,-0.60,0.04
335080,9.65,-1.41,1.21,0.08,-0.41,0.03
335093,10.03,-1.37,-0.60,0.16,-0.41,0.02
335106,10.01,-1.15,-0.60,0.04,-0.28,0.02
335119,9.86,-1.75,0.30,-0.15,-0.04,-0.01
335132,9.86,-1.68,0.34,-0.06,0.05,-0.04
335145,9.84,-1.62,0.40,0.03,0.13,-0.06
335158,9.69,-1.17,1.12,0.09,0.28,-0.08
335171,9.64,-1.12,1.42,0.07,0.30,-0.08
335184,9.67,-0.95,1.30,0.10,0.31,-0.06
335197,9.45,-0.45,2.37,0.15,0.33,-0.03
335210,9.42,-0.40,2.70,0.18,0.27,0.08
335223,9.47,-0.36,2.36,0.12,0.19,0.14
335236,9.50,-0.44,2.06,0.03,0.13,0.20
335249,9.51,-1.12,2.15,-0.04,0.06,0.29
335262,9.53,-1.34,2.13,-0.04,0.02,0.31
335275,9.61,-1.47,1.68,-0.03,-0.01,0.31
