7,-1.81,1.76,-0.09,-0.10,0.27
350943,9.13,-3.43,2.50,-0.09,-0.16,0.11
350956,9.20,-3.51,2.29,-0.07,-0.19,0.08
350969,9.19,-3.29,2.13,0.01,-0.20,0.02
350982,9.21,-3.22,1.98,0.01,-0.20,-0.01
350995,9.22,-3.14,1.99,-0.01,-0.20,-0.03
351008,9.21,-3.09,1.95,-0.07,-0.19,-0.07
351021,9.20,-3.07,2.02,-0.09,-0.19,-0.08
351034,9.21,-2.98,1.95,-0.10,-0.19,-0.09
351047,9.23,-2.71,1.84,-0.10,-0.19,-0.08
351060,9.25,-2.74,1.73,-0.04,-0.18,-0.06
351073,9.25,-2.73,1.70,0.00,-0.16,-0.04
351086,9.27,-2.80,1.77,0.03,-0.14,-0.03
351099,9.26,-2.86,1.74,0.06,-0.12,-0.00
351112,9.26,-2.79,1.75,0.07,-0.10,0.00
351125,9.26,-2.69,1.74,0.08,-0.09,0.01
351138,9.28,-2.84,1.61,0.03,-0.07,0.04
351151,9.28,-2.98,1.57,0.00,-0.05,0.04
351164,9.30,-2.98,1.53,0.01,-0.03,0.04
351177,9.28,-2.96,1.64,0.08,0.02,0.04
351190,9.27,-2.85,1.67,0.14,0.04,0.05
351203,9.26,-2.73,1.66,0.18,0.07,0.06
351216,9.21,-2.79,1.96,0.14,0.09,0.08
351229,9.18,-2.81,2.17,0.10,0.09,0.09
351242,9.15,-2.85,2.29,0.05,0.07,0.09
351255,9.15,-2.99,2.30,-0.02,0.01,0.08
351268,9.17,-3.13,2.20,-0.03,-0.01,0.08
351281,9.18,-3.22,2.17,-0.02,-0.03,0.07
351294,9.19,-3.58,2.12,0.01,-0.06,0.02
351307,9.19,-3.59,2.16,0.01,-0.07,-0.02
351320,9.18,-3.48,2.19,0.01,-0.08,-0.07
351333,9.18,-2.98,2.12,0.00,-0.11,-0.13
351346,9.20,-2.85,2.06,-0.03,-0.13,-0.14
351359,9.20,-2.82,2.01,-0.08,-0.14,-0.14
351372,9.25,-2.76,1.85,-0.12,-0.15,-0.14
351385,9.26,-2.73,1.74,-0.14,-0.14,-0.12
351398,9.29,-2.74,1.60,-0.10,-0.12,-0.11
351411,9.29,-2.63,1.64,-0.03,-0.10,-0.08
351424,9.26,-2.44,1.66,0.01,-0.06,-0.03
351437,9.28,-2.47,1.61,-0.03,-0.05,0.00
351450,9.29,-2.61,1.55,-0.06,-0.03,0.03
351463,9.30,-2.99,1.63,-0.05,0.01,0.05
351476,9.29,-2.95,1.66,-0.03,0.03,0.05
351489,9.25,-2.80,1.78,0.00,0.05,0.05
351502,9.22,-2.89,1.93,0.00,0.06,0.07
351515,9.23,-3.01,1.90,0.00,0.06,0.07
351528,9.23,-3.12,1.96,-0.01,0.05,0.06
351541,9.21,-3.16,2.06,-0.03,0.04,0.03
351554,9.22,-3.21,2.00,-0.03,0.03,0.01
351567,9.23,-3.21,1.98,-0.02,0.02,-0.01
351580,9.24,-3.16,1.99,0.01,0.01,-0.04
351593,9.23,-3.17,1.96,0.02,0.01,-0.06
351606,9.23,-3.15,2.00,0.03,0.01,-0.08
351619,9.24,-3.07,1.94,0.03,-0.00,-0.12
351632,9.24,-3.04,1.89,0.02,-0.00,-0.13
351645,9.27,-3.02,1.78,0.02,0.00,-0.14
351658,9.28,-2.95,1.70,0.03,0.02,-0.16
351671,9.26,-2.85,1.71,0.06,0.06,-0.17
351684,9.28,-2.68,1.77,0.07,0.07,-0.17
351697,9.29,-2.52,1.84,0.08,0.09,-0.16
351710,9.28,-2.50,1.87,0.06,0.12,-0.13
351723,9.24,-2.48,1.98,0.05,0.13,-0.11
351736,9.24,-2.48,1.98,0.04,0.13,-0.09
351749,9.23,-2.53,2.12,0.03,0.14,-0.06
351762,9.23,-2.48,2.22,0.04,0.14,-0.05
351775,9.22,-2.44,2.33,0.04,0.13,-0.03
351788,9.19,-2.66,2.36,0.02,0.09,0.00
351801,9.19,-2.69,2.46,0.03,0.08,0.01
351814,9.18,-2.68,2.43,0.04,0.06,0.01
351827,9.19,-2.67,2.43,0.02,0.01,0.02
351840,9.18,-2.69,2.48,0.01,-0.01,0.02
351853,9.18,-2.82,2.44,-0.01,-0.03,0.01
351866,9.24,-2.98,2.31,-0.03,-0.07,-0.01
351879,9.24,-2.93,2.18,-0.04,-0.08,-0.03
351892,9.25,-2.95,2.22,-0.04,-0.08,-0.05
351905,9.25,-3.01,2.17,-0.03,-0.09,-0.09
351918,9.26,-2.99,2.16,-0.03,-0.09,-0.11
351931,9.25,-2.86,2.17,-0.04,-0.09,-0.13
351944,9.26,-2.64,2.11,-0.04,-0.09,-0.15
351957,9.27,-2.73,2.10,-0.03,-0.09,-0.15
351970,9.26,-2.75,2.12,-0.01,-0.09,-0.15
351983,9.25,-2.48,2.21,0.02,-0.09,-0.15
351996,9.26,-2.31,2.18,0.00,-0.10,-0.14
352009,9.29,-2.27,2.04,-0.03,-0.11,-0.13
352022,9.31,-2.47,2.00,-0.04,-0.10,-0.11
352035,9.32,-2.64,1.97,0.01,-0.09,-0.10
352048,9.32,-2.50,2.02,0.04,-0.08,-0.10
352061,9.31,-2.38,2.00,0.02,-0.08,-0.10
352074,9.34,-2.50,1.92,-0.02,-0.07,-0.09
352087,9.34,-2.50,1.94,-0.01,-0.06,-0.09
352100,9.34,-2.41,1.97,-0.00,-0.05,-0.09
