,-0.01,0.01
30634,7.92,-4.49,3.92,0.03,-0.00,0.01
30647,7.92,-4.47,3.91,0.04,-0.00,0.01
30660,7.92,-4.45,3.96,0.03,-0.00,0.01
30673,7.90,-4.44,3.99,0.04,-0.00,0.01
30686,7.90,-4.47,4.02,0.03,-0.01,0.01
30699,7.91,-4.55,3.96,-0.01,-0.02,-0.01
30712,7.92,-4.57,3.94,-0.01,-0.02,-0.01
30725,7.91,-4.58,3.98,0.01,-0.02,-0.02
30738,7.90,-4.36,4.01,0.04,-0.02,-0.03
30751,7.90,-4.30,4.02,0.03,-0.03,-0.02
30764,7.90,-4.31,4.05,0.01,-0.04,-0.01
30777,7.91,-4.34,3.99,-0.03,-0.05,0.00
30790,7.91,-4.37,3.98,-0.03,-0.05,0.01
30803,7.93,-4.41,3.91,-0.02,-0.05,0.01
30816,7.94,-4.42,3.85,-0.02,-0.05,0.01
30829,7.95,-4.41,3.85,-0.02,-0.05,0.01
30842,7.93,-4.45,3.88,-0.02,-0.04,0.01
30855,7.92,-4.47,3.90,-0.03,-0.04,0.01
30868,7.92,-4.44,3.95,-0.02,-0.03,0.01
30881,7.91,-4.41,3.94,-0.01,-0.03,0.01
30894,7.92,-4.49,3.93,-0.01,-0.03,0.01
30907,7.93,-4.54,3.91,-0.01,-0.03,0.00
30920,7.93,-4.56,3.88,-0.00,-0.03,-0.00
30933,7.94,-4.53,3.87,0.01,-0.03,-0.01
30946,7.90,-4.30,3.96,0.04,-0.02,-0.01
30959,7.91,-4.20,4.00,0.03,-0.02,-0.00
30972,7.90,-4.20,3.99,0.01,-0.03,0.01
30985,7.91,-4.37,3.96,-0.04,-0.04,0.04
30998,7.91,-4.45,3.93,-0.05,-0.04,0.04
31011,7.93,-4.55,3.90,-0.05,-0.04,0.04
31024,7.93,-4.58,3.88,-0.03,-0.04,0.02
31037,7.92,-4.53,3.87,-0.03,-0.03,0.02
31050,7.93,-4.55,3.86,-0.03,-0.03,0.01
31063,7.93,-4.55,3.86,-0.01,-0.02,0.00
31076,7.92,-4.57,3.89,0.00,-0.02,-0.00
31089,7.93,-4.56,3.88,0.01,-0.01,-0.01
31102,7.91,-4.34,3.90,0.03,-0.01,-0.01
31115,7.90,-4.26,3.99,0.03,-0.01,-0.00
31128,7.89,-4.41,4.02,0.00,-0.01,0.01
31141,7.92,-4.32,3.78,-0.07,-0.02,-0.01
31154,7.93,-4.52,3.82,-0.19,-0.02,-0.01
31167,7.95,-4.83,3.78,-0.23,-0.01,-0.02
31180,8.45,-5.04,3.91,-0.25,-0.01,-0.06
31193,7.91,-4.62,3.72,-0.23,-0.01,-0.18
31206,8.01,-4.55,3.49,-0.16,0.00,-0.18
31219,7.83,-4.49,3.86,-0.10,0.03,-0.17
31232,7.77,-3.99,4.25,0.01,0.03,-0.13
31245,7.85,-3.90,4.16,0.01,0.00,-0.09
31258,7.85,-3.89,4.12,-0.04,-0.02,-0.05
31271,7.99,-4.20,4.22,-0.15,-0.07,0.01
31284,8.00,-4.31,4.24,-0.19,-0.11,0.01
31297,8.22,-4.52,3.88,-0.23,-0.15,0.00
31310,8.04,-4.75,3.58,-0.42,-0.19,-0.08
31323,8.04,-4.70,3.33,-0.44,-0.17,-0.11
