0,-0.02,-0.03,0.02
91761,9.17,-2.50,2.60,0.01,-0.03,0.01
91774,9.21,-2.50,2.61,0.01,-0.03,0.01
91787,9.18,-2.53,2.60,0.01,-0.03,0.01
91800,9.18,-2.49,2.57,0.01,-0.02,0.01
91813,9.17,-2.54,2.62,0.02,-0.02,0.02
91826,9.20,-2.54,2.60,0.01,-0.03,0.02
91839,9.19,-2.50,2.56,0.01,-0.03,0.01
91852,9.19,-2.50,2.51,-0.01,-0.03,0.02
91865,9.19,-2.45,2.59,0.00,-0.02,0.02
91878,9.18,-2.54,2.55,0.00,-0.02,0.02
91891,9.19,-2.60,2.54,-0.01,-0.02,0.03
91904,9.17,-2.58,2.57,0.00,-0.02,0.02
91917,9.18,-2.50,2.55,0.02,-0.01,0.02
91930,9.16,-2.42,2.62,0.01,-0.01,0.03
91943,9.16,-2.47,2.60,-0.01,-0.02,0.04
91956,9.18,-2.60,2.62,-0.02,-0.02,0.05
91969,9.18,-2.64,2.61,-0.00,-0.02,0.03
91982,9.16,-2.50,2.58,0.01,-0.02,0.03
91995,9.17,-2.52,2.62,0.00,-0.02,0.03
92008,9.17,-2.54,2.63,-0.02,-0.03,0.04
92021,9.17,-2.69,2.60,-0.02,-0.03,0.04
92034,9.18,-2.72,2.62,-0.00,-0.03,0.04
92047,9.16,-2.62,2.62,0.02,-0.03,0.02
92060,9.16,-2.55,2.67,0.01,-0.03,0.02
92073,9.14,-2.55,2.70,-0.00,-0.03,0.02
92086,9.16,-2.70,2.65,-0.02,-0.05,0.01
92099,9.16,-2.77,2.65,-0.01,-0.05,0.01
92112,9.16,-2.73,2.66,0.00,-0.05,-0.00
92125,9.16,-2.49,2.64,0.01,-0.06,-0.01
92138,9.17,-2.61,2.59,-0.01,-0.07,-0.01
92151,9.20,-2.75,2.52,-0.02,-0.07,-0.02
92164,9.18,-2.74,2.57,-0.01,-0.06,-0.03
92177,9.18,-2.57,2.53,0.01,-0.06,-0.05
92190,9.19,-2.56,2.53,0.00,-0.06,-0.06
