3,-4.07,4.56,0.02,-0.05,0.07
591565,8.43,-3.53,3.96,0.37,-0.17,0.22
591578,8.64,-3.92,3.72,0.31,-0.19,0.22
591591,8.60,-4.24,3.60,0.33,-0.15,0.19
591604,8.92,-4.09,3.98,0.38,-0.15,0.15
591617,8.33,-3.59,3.57,0.44,-0.16,0.15
591630,8.51,-3.99,3.03,0.32,-0.14,0.17
591643,9.25,-4.24,3.66,0.50,-0.02,0.23
591656,7.69,-2.95,3.58,0.62,-0.05,0.27
591669,9.25,-3.57,4.35,0.54,-0.06,0.27
591682,8.33,-4.05,3.57,0.17,-0.14,0.21
591695,8.81,-3.86,3.81,0.09,-0.12,0.14
591708,8.79,-4.36,3.20,0.21,-0.09,0.10
591721,7.28,-3.23,3.52,0.41,-0.04,0.02
591734,9.33,-4.33,3.86,0.44,0.04,0.01
591747,7.79,-3.20,3.33,0.37,0.01,0.01
591760,7.88,-3.34,4.39,0.30,0.08,0.00
591773,9.79,-3.47,3.39,0.22,0.02,-0.04
591786,8.98,-3.54,4.33,0.26,0.03,0.00
591799,6.68,-3.30,3.57,0.23,-0.06,0.08
591812,9.12,-4.00,3.48,0.17,-0.15,0.12
591825,9.30,-3.97,3.12,0.18,-0.11,0.05
591838,8.33,-3.56,3.33,0.26,-0.11,0.03
591851,8.07,-3.07,3.28,0.24,-0.10,0.00
591864,9.49,-3.49,2.73,0.19,-0.09,0.01
591877,9.27,-2.58,3.85,0.20,-0.09,-0.01
591890,9.92,-4.23,2.50,0.10,-0.15,0.01
591903,8.74,-2.71,2.95,0.25,-0.17,-0.03
591916,9.56,-3.72,3.27,0.16,-0.23,-0.08
591929,9.23,-4.10,1.84,0.25,-0.23,-0.13
591942,9.19,-2.93,2.08,0.31,-0.20,-0.13
591955,9.03,-2.57,2.23,0.48,-0.15,-0.12
591968,8.78,-2.03,1.86,0.57,0.06,-0.01
591981,9.19,-1.73,2.51,0.38,0.13,0.12
591994,10.44,-1.34,3.02,0.18,0.11,0.29
592007,10.27,-2.68,3.56,-0.02,0.03,0.76
592020,10.21,-3.49,3.28,-0.48,0.05,0.80
592033,9.88,-4.76,3.38,-0.77,0.15,0.71
592046,9.89,-5.14,3.14,-0.88,0.27,0.57
592059,9.67,-4.84,3.03,-0.48,0.57,0.34
592072,9.00,-4.90,3.51,-0.11,0.72,0.24
592085,8.06,-5.13,4.12,0.32,0.83,0.13
592098,7.00,-4.83,4.48,-0.01,0.70,0.02
592111,6.49,-4.13,4.35,-0.00,0.56,0.01
592124,6.01,-4.02,4.54,0.02,0.41,0.04
592137,5.80,-3.89,4.72,0.10,0.01,0.11
592150,6.15,-3.90,4.22,0.03,-0.16,0.08
592163,6.67,-3.86,3.84,-0.04,-0.26,0.04
592176,7.26,-4.11,3.49,-0.02,-0.27,-0.05
592189,7.47,-4.18,3.31,0.04,-0.22,-0.09
592202,7.70,-4.02,3.31,0.12,-0.15,-0.13
592215,7.40,-3.88,3.78,0.18,-0.09,-0.16
592228,7.27,-3.83,3.83,0.16,-0.13,-0.16
592241,7.46,-3.84,3.88,0.11,-0.17,-0.15
592254,8.19,-4.04,3.64,0.01,-0.23,-0.12
592267,8.36,-4.16,3.65,-0.03,-0.21,-0.10
592280,8.48,-4.18,3.65,-0.02,-0.18,-0.10
592293,8.66,-4.14,3.88,0.01,-0.12,-0.09
592306,8.64,-4.14,3.92,0.05,-0.10,-0.07
592319,8.60,-4.17,3.86,0.11,-0.09,-0.06
592332,8.68,-3.89,4.08,0.14,-0.06,-0.04
592345,8.69,-3.84,3.90,0.05,-0.03,-0.00
592358,8.55,-4.10,3.89,-0.03,-0.00,0.02
